Point ID,Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude
0,0,0,1,1,0,0,0.5,0.5
1,0,0,-1,1,0,0,-0.5,0.5
2,0.34202,0,0.939693,1,0.17101,0,0.469846,0.5
3,0.642788,0,0.766044,1,0.321394,0,0.383022,0.5
4,0.866025,0,0.5,1,0.433013,0,0.25,0.5
5,0.984808,0,0.173648,1,0.492404,0,0.0868241,0.5
6,0.984808,0,-0.173648,1,0.492404,0,-0.0868241,0.5
7,0.866025,0,-0.5,1,0.433013,0,-0.25,0.5
8,0.642788,0,-0.766044,1,0.321394,0,-0.383022,0.5
9,0.34202,0,-0.939693,1,0.17101,0,-0.469846,0.5
10,0.2767,0.201034,0.939693,1,0.13835,0.100517,0.469846,0.5
11,0.520026,0.377821,0.766044,1,0.260013,0.188911,0.383022,0.5
12,0.700629,0.509037,0.5,1,0.350315,0.254518,0.25,0.5
13,0.796726,0.578855,0.173648,1,0.398363,0.289428,0.0868241,0.5
14,0.796726,0.578855,-0.173648,1,0.398363,0.289428,-0.0868241,0.5
15,0.700629,0.509037,-0.5,1,0.350315,0.254518,-0.25,0.5
16,0.520026,0.377821,-0.766044,1,0.260013,0.188911,-0.383022,0.5
17,0.2767,0.201034,-0.939693,1,0.13835,0.100517,-0.469846,0.5
18,0.10569,0.32528,0.939693,1,0.052845,0.16264,0.469846,0.5
19,0.198632,0.611327,0.766044,1,0.0993161,0.305664,0.383022,0.5
20,0.267617,0.823639,0.5,1,0.133808,0.41182,0.25,0.5
21,0.304322,0.936608,0.173648,1,0.152161,0.468304,0.0868241,0.5
22,0.304322,0.936608,-0.173648,1,0.152161,0.468304,-0.0868241,0.5
23,0.267617,0.823639,-0.5,1,0.133808,0.41182,-0.25,0.5
24,0.198632,0.611327,-0.766044,1,0.0993161,0.305664,-0.383022,0.5
25,0.10569,0.32528,-0.939693,1,0.052845,0.16264,-0.469846,0.5
26,-0.10569,0.32528,0.939693,1,-0.052845,0.16264,0.469846,0.5
27,-0.198632,0.611327,0.766044,1,-0.0993161,0.305664,0.383022,0.5
28,-0.267617,0.823639,0.5,1,-0.133808,0.41182,0.25,0.5
29,-0.304322,0.936608,0.173648,1,-0.152161,0.468304,0.0868241,0.5
30,-0.304322,0.936608,-0.173648,1,-0.152161,0.468304,-0.0868241,0.5
31,-0.267617,0.823639,-0.5,1,-0.133808,0.41182,-0.25,0.5
32,-0.198632,0.611327,-0.766044,1,-0.0993161,0.305664,-0.383022,0.5
